tx_id,reference,date,amount,currency,counterparty,account_id
TXN-1001,REF-9801,2026-09-01,15420.50,USD,Acme Corp,ACC-US-01
TXN-1002,REF-9802,2026-09-01,4200.00,USD,Global Logistics,ACC-US-01
TXN-1003,REF-9803,2026-09-02,89500.00,USD,Apex Holdings,ACC-US-02
TXN-1004,REF-9804,2026-09-02,1250.75,EUR,Nordic Trade Oy,ACC-EU-01
TXN-1005,REF-9805,2026-09-03,64000.00,USD,Starlight Media,ACC-US-01
TXN-1006,REF-9806,2026-09-03,3100.20,GBP,Vanguard Retail,ACC-UK-01
TXN-1007,REF-9807,2026-09-04,9500.00,USD,Zenith Payments,ACC-US-02
TXN-1008,REF-9808,2026-09-04,18250.00,USD,CyberShield LLC,ACC-US-01
TXN-1009,REF-9809,2026-09-05,55000.00,EUR,Bavaria Auto AG,ACC-EU-01
TXN-1010,REF-9810,2026-09-05,7300.00,USD,Orion Systems,ACC-US-01
