ext_id,ext_reference,value_date,settled_amount,currency,payer_name,bank_ref
EXT-7001,REF-9801,2026-09-01,15420.50,USD,Acme Corp,BNK-0019283
EXT-7002,REF-9802,2026-09-01,4200.00,USD,Global Logistics,BNK-0019284
EXT-7003,REF-9803,2026-09-02,89450.00,USD,Apex Holdings,BNK-0019285
EXT-7004,REF-9804,2026-09-02,1250.75,EUR,Nordic Trade Oy,BNK-0019286
EXT-7005,REF-9805,2026-09-03,64000.00,USD,Starlight Media,BNK-0019287
EXT-7006,REF-9806,2026-09-03,3100.20,GBP,Vanguard Retail,BNK-0019288
EXT-7007,REF-9808,2026-09-04,18250.00,USD,CyberShield LLC,BNK-0019289
EXT-7008,REF-9808,2026-09-04,18250.00,USD,CyberShield LLC,BNK-0019290
EXT-7009,REF-9999,2026-09-05,22400.00,USD,Unregistered Payer Inc,BNK-0019291
EXT-7010,REF-9810,2026-09-05,7300.00,USD,Orion Systems,BNK-0019292
